Date,Sender,FileName,Department,Url
2/24/2026 10:51:33,ระบบเดิม (นำเข้า),182-2569 เรื่อง การโอนเปลี่ยนแปลง ปีงบ 2569 ครั้งที่ 324 (ครูห้องคู่ขนานสำหรับบุคคลออทิสติ ระยะเวลา 1 เดือน).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1tyYfUOH0ScSVr0z_MJ5dTEicUTB7lV5w/view?usp=drivesdk
2/24/2026 10:51:31,ระบบเดิม (นำเข้า),177-2569 เรื่อง จัดสรรงบประมาณรายจ่ายปีงบ 69 ครูห้องคู่ขนานสำหรับบุคคลออทิสติก ครั้งที่ 2 ระยะเวลา 1 เดือน.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1GeuM-7lwskqoxg8oqjRybyKvUCIa-D0i/view?usp=drivesdk
2/23/2026 10:19:07,ระบบเดิม (นำเข้า),171-2569 เรื่อง ขอเชิญประชุมเชิงปฏิบัติการทบทวนและสร้างแนวทางลดภาระงานครู ตามนโยบายระยะเร่งด่วน.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1MRv-I7maLOt49SVuHFcNVGpPcAEA9kpA/view?usp=drivesdk
2/18/2026 16:36:03,ระบบเดิม (นำเข้า),163-2569 เรื่อง เชิญร่วมพิธีสวดพระพุทธมนต์ถวายพระราชกุศลแด่ สมเด็จพระนางเจ้าสิริกิติ์.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1bL1f4WV8ezdzGy5QnnnJex7jMdNW7i-4/view?usp=drivesdk
2/18/2026 16:36:01,ระบบเดิม (นำเข้า),160-2569 เรื่อง ส่งคำสั่ง (แก้ไขคำสั่ง รัชนีกร).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1JibI2uyQdBzXQd9C7smhY8I6PQwA8Uia/view?usp=drivesdk
2/18/2026 16:35:58,ระบบเดิม (นำเข้า),162-2569 เรื่อง จัดสรรงบประมาณรายจ่ายปีงบ ๒๕๖๙ งบรายจ่ายอื่น สำหรับจ้างบุคลากร ครั้งที่ ๒ ระยะเวลา ๑ เดือน (กุมภาพันธ์ ๒๕๖๙).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1KqtYJiLIpzXiEAdE_WJtZBVR3KJuDv6x/view?usp=drivesdk
2/18/2026 9:18:36,ระบบเดิม (นำเข้า),157-2569 เรื่อง ส่งคำสั่ง แต่งตั้งคณะกรรมการเตรียมความพร้อมและพัฒนาอย่างเข้ม ตำแหน่งครูผู้ช่วย (เขมิกา อินทิพร).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/16rJUZJ56qiOscwNxKdV8WW2Ue4jA-x0G/view?usp=drivesdk
2/11/2026 7:37:19,ระบบเดิม (นำเข้า),142-2569 เรื่อง จัดส่งบัตรประจำตัวเจ้าหน้าที่ของรัฐ (เขมิกา อินทิพร).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1TxsTR5li7jaN3RuiAYoqGe-xgv2ye1dJ/view?usp=drivesdk
2/6/2026 10:54:33,ระบบเดิม (นำเข้า),126-2569 เรื่อง จัดส่งบัตรประจำตัวเจ้าหน้าที่ของรัฐ (พรจนา).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/18QNUilJYbu_jrUritBHWUCKJRMfq5AZ8/view?usp=drivesdk
2/10/2026 16:17:32,ระบบเดิม (นำเข้า),130-2569 เรื่อง การเสนอชื่อเพื่อการสรรหาบุคคล หน่วยงาน และโครงการ เพื่อประกาศเกียรติคุณเป็น ค่าของแผ่นดิน ปี 2568.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1CedHj8dkQr5ZRqPNbVcUoSphGtooTnAj/view?usp=drivesdk
2/10/2026 16:17:31,ระบบเดิม (นำเข้า),129-2569 เรื่อง ขอความอนุเคราะห์ประชาสัมพันธ์กิจกรรมและเชิญบุคลากรเข้าร่วมกิจกรรม EDC Trainer 2026.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1Bnj3a5z147z8SBHa0_MczNPTCo0PnWMO/view?usp=drivesdk
2/10/2026 16:17:30,ระบบเดิม (นำเข้า),139-2569 เรื่อง การคัดเลือกข้าราชการพลเรือนดีเด่นประจำปี พ.ศ.๒๕๖๘ (การรายงานข้อมูลจำนวนบุคลากร ณ วันที่ ๓๐ กันยายน ๒๕๖๘).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1myNB3fkhbY5s1VuXTxe83qliT87wsna-/view?usp=drivesdk
2/10/2026 16:17:30,ระบบเดิม (นำเข้า),137-2569 เรื่อง การคัดเลือกข้าราชการพลเรือนดีเด่นประจำปี พ.ศ.๒๕๖๘.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1Zq2tggAmhCRlOhu8nTt1mRS8rJX5xmkC/view?usp=drivesdk
2/10/2026 16:17:29,ระบบเดิม (นำเข้า),135-2569 เรื่อง รายงานสัญญาจ้างสำหรับการปฏิบัติงานของครูประจำห้องเรียนคู่ขนานสำหรับบุคคลออทิสติกและโรงพยาบาล.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1WKKG4wcB9yF8CzJH0l2ykbGjClcXglh7/view?usp=drivesdk
2/4/2026 10:00:26,ระบบเดิม (นำเข้า),122-2569 เรื่อง ขอความอนุเคราะห์ใช้สถานศึกษาเป็นสถานที่ฝึกประสบการณ์วิชาชีพครู.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1KvyOhMTmRho0p_9lcO6dGa41CEwjT1js/view?usp=drivesdk
2/3/2026 10:24:32,ระบบเดิม (นำเข้า),120-2569 เรื่อง การคัดเลือกข้าราชการพลเรือนดีเด่นประจำปี พ.ศ.๒๕๖๘.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1recQnCYUh7cKMjgAdHyIjVctSJvG_l43/view?usp=drivesdk
2/3/2026 10:24:32,ระบบเดิม (นำเข้า),121-2569 เรื่อง โครงการประกันอุบัติเหตุส่วนบุคคลหมู่ให้แก่ครูและบุคลากรทางการศึกษา ประจำปี 2569.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1e7-SPS9pDkp_f9rVNuIF9zFBVhvjb64R/view?usp=drivesdk
2/2/2026 16:01:05,ระบบเดิม (นำเข้า),117-2569 เรื่อง ขอความอนุเคราะห์ใช้สถานศึกษาเป็นสถานที่ฝึกประสบการณ์วิชาชีพครู.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1O_oeR_PEtk3FRgf9-trYi7vmqC6o6zHl/view?usp=drivesdk
2/2/2026 16:01:04,ระบบเดิม (นำเข้า),114-2569 เรื่อง ขอความอนุเคราะห์ศึกษาดูงาน.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1ymGOUip9LDPYytf5XCkRNq10gwINgCBn/view?usp=drivesdk
2/2/2026 16:01:03,ระบบเดิม (นำเข้า),118-2569 เรื่อง ส่งตัวนักศึกษาเข้ารับฝึกประสบการณ์ฯ และปฏิบัติการสอนในสถานศึกษา.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1PVQClD45GauiwxoionnwxyNPqcYNCLMX/view?usp=drivesdk
2/2/2026 8:49:19,ระบบเดิม (นำเข้า),110-2569 เรื่อง เรื่อง ขอขอบคุณ(วันครู 2569).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1gwRcZ53p_BT_a1VWmaZKldXn3YsW6Usg/view?usp=drivesdk
2/20/2026 9:01:53,ระบบเดิม (นำเข้า),96-2569  เรื่อง การคัดเลือกผู้ทำคุณประโยชน์ให้แก่กระทรวงศึกษาธิการ ประจำปี ๒๕๖๙.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1WKFLnpr1QKThzzgbNrCSf-bBbethWs7y/view?usp=drivesdk
1/23/2026 14:23:58,ระบบเดิม (นำเข้า),32-2569 เรื่อง ส่งคำสั่ง (คศ.2).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1x5gA0gGBGUArF0hn2LyplBvhBlTH7tr1/view?usp=drivesdk
1/21/2026 14:40:41,ระบบเดิม (นำเข้า),86-2569 เรื่อง สำรวจตำแหน่งว่างและกลุ่มวิชาเอก สำหรับดำเนินการคัดเลือกบุคคลเพื่อบรรจุและแต่งตั้งเข้ารับราชการ ตำแหน่งครูผู้ช่วย กรณีพิเศษ ปี 2569.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1GlaPyuX20y8VCHJrSrtoA35kGMuVk95x/view?usp=drivesdk
1/20/2026 15:43:33,ระบบเดิม (นำเข้า),79-2569 เรื่อง ส่งคำสั่ง (รองผู้อำนวยการ).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1kXIg6EtcEbvOGJUR2SjaH4hHMcZyxo7L/view?usp=drivesdk
1/20/2026 15:43:30,ระบบเดิม (นำเข้า),75-2569 เรื่อง การบันทึกรายงานข้อมูลสัญญาจ้าง งบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ. ๒๕๖๙ รอบ ๔ เดือนแรก (ตุลาคม ๒๕๖๘ - มกราคม ๒๕๖๙).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1KKYPk9jRBBAvwEHaFmCsaJkilK1nuCZe/view?usp=drivesdk
1/15/2026 12:40:15,ระบบเดิม (นำเข้า),60-2569 เรื่อง การบันทึกข้อมูลพนักงานราชการให้เป็นปัจจุบัน ปีงบประมาณ 2569.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1Rb_-o1hYU8Lv-eftswu3pjA1o_yB-MoB/view?usp=drivesdk
1/13/2026 10:46:24,ระบบเดิม (นำเข้า),34-2569 เรื่อง ส่งคำสั่ง (คศ.1).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1H-d-JvlBYxFTiSSERnx1YHynfWK-nlIy/view?usp=drivesdk
1/12/2026 13:32:22,ระบบเดิม (นำเข้า),25-2569 เรื่อง ประกาศผลการคัดเลือกยกย่องเชิดชูเกียรติผู้มีผลงานดีเด่น สถานศึกษาสังกัดสศศ. กลุ่ม ๒ ประจำปี ๒๕๖๙ - ศูนย์การศึกษาพิเศษ ประจําจังหวัดตราด.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1IzydOFHSV03wjRgduR3aaUIpCkXIVeal/view?usp=drivesdk
